Animal_ID,BCM_ID
cy0112,CBB35ACXX-4-ID01
cy0115,CBB35ACXX-4-ID03
cy0151,CBB35ACXX-4-ID05
cy0152,CBB35ACXX-4-ID07
cy0153,CBB35ACXX-4-ID09
cy0157,CBB35ACXX-4-ID11
cy0160,CBB35ACXX-7-ID02
cy0203,CBB35ACXX-7-ID04
cy0204,CBB35ACXX-7-ID06
cy0205,CBB35ACXX-7-ID08
cy0206,CBB35ACXX-7-ID10
cy0208,CBB35ACXX-7-ID12
cy0209,CBB35ACXX-8-ID01
cy0212,CBB35ACXX-8-ID03
cy0213,CBB35ACXX-8-ID05
cy0214,CBB35ACXX-8-ID07
cy0338,CBB35ACXX-8-ID09
cy0339,CBB35ACXX-8-ID11
cy0344,CBB35ACXX-5-ID02
cy0345,CBB35ACXX-5-ID04
cy0347,CBB35ACXX-5-ID06
cy0348,CBB35ACXX-5-ID08
cy0349,CBB35ACXX-5-ID10
cy0380,CBB35ACXX-5-ID12
cy0381,CBB16ACXX-3-ID01
cy0382,CBB16ACXX-3-ID03
cy0383,CBB16ACXX-3-ID05
cy0384,CBB16ACXX-3-ID07
cy0385,CBB16ACXX-3-ID09
cy0386,CBB16ACXX-3-ID11
cy0387,CBB16ACXX-1-ID02
cy0388,CBB16ACXX-1-ID04
cy0416,CBB16ACXX-1-ID06
cy0417,CBB16ACXX-1-ID08
cy0418,CBB16ACXX-1-ID10
cy0419,CBB16ACXX-1-ID12
cy0554,CBB35ACXX-6-ID01
cy0557,CBB35ACXX-6-ID03
cy0560,CBB35ACXX-6-ID05
cy0573,CBB35ACXX-6-ID07
cy0580,CBB35ACXX-6-ID09
cy0581,CBB35ACXX-6-ID11
cy0641,CBB35ACXX-2-ID02
cy0644,CBB35ACXX-2-ID04
cy0645,CBB35ACXX-2-ID06
cy0647,CBB35ACXX-2-ID08
cy0650,CBB35ACXX-2-ID10
cy0653,CBB35ACXX-2-ID12
cy0655,CBB16ACXX-2-ID01
cy0656,CBB16ACXX-2-ID03
cy0879,CBB16ACXX-2-ID05
cy0880,CBB16ACXX-2-ID07
cy0881,CBB16ACXX-2-ID09
cy0882,CBB16ACXX-2-ID11
cy0883,CBB35ACXX-3-ID02
cy0885,CBB35ACXX-3-ID04
cy0886,CBB35ACXX-3-ID06
cy0887,CBB35ACXX-3-ID08
WIS643,CBB35ACXX-3-ID10
WIS694,CBB35ACXX-3-ID12
