,Animal_ID,BCM_ID,BioProject,BioSample
0,cy0112,CBB35ACXX-4-ID01,PRJNA532294,SAMN11393811
1,cy0115,CBB35ACXX-4-ID03,PRJNA532294,SAMN11393812
2,cy0151,CBB35ACXX-4-ID05,PRJNA532294,SAMN11393813
3,cy0152,CBB35ACXX-4-ID07,PRJNA532294,SAMN11393814
4,cy0153,CBB35ACXX-4-ID09,PRJNA532294,SAMN11393815
5,cy0157,CBB35ACXX-4-ID11,PRJNA532294,SAMN11393816
6,cy0160,CBB35ACXX-7-ID02,PRJNA532294,SAMN11393817
7,cy0203,CBB35ACXX-7-ID04,PRJNA532294,SAMN11393818
8,cy0204,CBB35ACXX-7-ID06,PRJNA532294,SAMN11393819
9,cy0205,CBB35ACXX-7-ID08,PRJNA532294,SAMN11393820
10,cy0206,CBB35ACXX-7-ID10,PRJNA532294,SAMN11393821
11,cy0208,CBB35ACXX-7-ID12,PRJNA532294,SAMN11393822
12,cy0209,CBB35ACXX-8-ID01,PRJNA532294,SAMN11393823
13,cy0212,CBB35ACXX-8-ID03,PRJNA532294,SAMN11393824
14,cy0213,CBB35ACXX-8-ID05,PRJNA532294,SAMN11393825
15,cy0214,CBB35ACXX-8-ID07,PRJNA532294,SAMN11393826
16,cy0338,CBB35ACXX-8-ID09,PRJNA532294,SAMN11393827
17,cy0339,CBB35ACXX-8-ID11,PRJNA532294,SAMN11393828
18,cy0344,CBB35ACXX-5-ID02,PRJNA532294,SAMN11393829
19,cy0345,CBB35ACXX-5-ID04,PRJNA532294,SAMN11393830
20,cy0347,CBB35ACXX-5-ID06,PRJNA532294,SAMN11393831
21,cy0348,CBB35ACXX-5-ID08,PRJNA532294,SAMN11393832
22,cy0349,CBB35ACXX-5-ID10,PRJNA532294,SAMN11393833
23,cy0380,CBB35ACXX-5-ID12,PRJNA532294,SAMN11393834
24,cy0381,CBB16ACXX-3-ID01,PRJNA532294,SAMN11393835
25,cy0382,CBB16ACXX-3-ID03,PRJNA532294,SAMN11393836
26,cy0383,CBB16ACXX-3-ID05,PRJNA532294,SAMN11393837
27,cy0384,CBB16ACXX-3-ID07,PRJNA532294,SAMN11393838
28,cy0385,CBB16ACXX-3-ID09,PRJNA532294,SAMN11393839
29,cy0386,CBB16ACXX-3-ID11,PRJNA532294,SAMN11393840
30,cy0387,CBB16ACXX-1-ID02,PRJNA532294,SAMN11393841
31,cy0388,CBB16ACXX-1-ID04,PRJNA532294,SAMN11393842
32,cy0416,CBB16ACXX-1-ID06,PRJNA532294,SAMN11393843
33,cy0417,CBB16ACXX-1-ID08,PRJNA532294,SAMN11393844
34,cy0418,CBB16ACXX-1-ID10,PRJNA532294,SAMN11393845
35,cy0419,CBB16ACXX-1-ID12,PRJNA532294,SAMN11393846
36,cy0554,CBB35ACXX-6-ID01,PRJNA532294,SAMN11393847
37,cy0557,CBB35ACXX-6-ID03,PRJNA532294,SAMN11393848
38,cy0560,CBB35ACXX-6-ID05,PRJNA532294,SAMN11393849
39,cy0573,CBB35ACXX-6-ID07,PRJNA532294,SAMN11393850
40,cy0580,CBB35ACXX-6-ID09,PRJNA532294,SAMN11393851
41,cy0581,CBB35ACXX-6-ID11,PRJNA532294,SAMN11393852
42,cy0641,CBB35ACXX-2-ID02,PRJNA532294,SAMN11393853
43,cy0644,CBB35ACXX-2-ID04,PRJNA532294,SAMN11393854
44,cy0645,CBB35ACXX-2-ID06,PRJNA532294,SAMN11393855
45,cy0647,CBB35ACXX-2-ID08,PRJNA532294,SAMN11393856
46,cy0650,CBB35ACXX-2-ID10,PRJNA532294,SAMN11393857
47,cy0653,CBB35ACXX-2-ID12,PRJNA532294,SAMN11393858
48,cy0655,CBB16ACXX-2-ID01,PRJNA532294,SAMN11393859
49,cy0656,CBB16ACXX-2-ID03,PRJNA532294,SAMN11393860
50,cy0879,CBB16ACXX-2-ID05,PRJNA532294,SAMN11393861
51,cy0880,CBB16ACXX-2-ID07,PRJNA532294,SAMN11393862
52,cy0881,CBB16ACXX-2-ID09,PRJNA532294,SAMN11393863
53,cy0882,CBB16ACXX-2-ID11,PRJNA532294,SAMN11393864
54,cy0883,CBB35ACXX-3-ID02,PRJNA532294,SAMN11393865
55,cy0885,CBB35ACXX-3-ID04,PRJNA532294,SAMN11393866
56,cy0886,CBB35ACXX-3-ID06,PRJNA532294,SAMN11393867
57,cy0887,CBB35ACXX-3-ID08,PRJNA532294,SAMN11393868
58,WIS643,CBB35ACXX-3-ID10,PRJNA532294,SAMN11393869
59,WIS694,CBB35ACXX-3-ID12,PRJNA532294,SAMN11393870
